RowID,Nation,FIS code,Year,Time,Bib,Rank,Athlete,Event Name,Date,URL,FIS Points,Score,Cup Points,Nation Year,Name,Order
33,CHN,9125092,2004,29.89,60,33,PANG Yu,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
34,GER,9205097,2005,30.04,49,34,TANIGUCHI Yuna,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
35,ITA,9295211,2005,30.08,71,35,RABANSER Sophie,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
36,AUS,9045081,1997,30.13,57,36,BONGIORNO Millie,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
37,POL,9435097,2004,30.19,63,37,POLTORAK Karolina,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
38,ITA,9295200,2004,30.30,66,38,FACHIN Fabiana,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
39,JPN,9305291,1996,30.34,61,39,TOYODA Asa,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
40,GER,9205105,2006,30.34,58,40,GUNKEL Hannah,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
41,SUI,9515198,2002,30.40,76,41,KLEESATTEL Eliane,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
42,CAN,9105317,1998,30.41,40,42,VAN GRONINGEN Abby,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
43,ITA,9295182,2003,30.49,48,43,VALLE Sofia,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
44,CZE,9155052,1996,30.54,65,44,HOUZVICKOVA Kristyna,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
45,JPN,9305476,2005,30.84,50,45,MAEDA Suzumi,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
46,ITA,9295234,2008,30.86,79,46,CARNEVALI Giorgia,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
47,ITA,9295224,2006,30.96,74,47,MAMMONE Anna Victoria,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
48,POL,9435094,2004,31.18,47,48,KACICZAK Olga,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
49,CZE,9155116,2006,31.37,69,49,MARESOVA Emma Maya,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
50,POL,9435100,2005,31.50,56,50,ZAPALA Sonia,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
51,JPN,9305461,2004,31.56,39,51,OSHIMA Hinano,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
52,ITA,9295178,2003,32.29,73,52,BOSSA Rachele,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
53,CZE,9155137,2007,33.18,70,53,OTIPKOVA Hana,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
54,CZE,9155098,2004,34.10,67,54,ZVIRECI Jana,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
55,POL,9435099,2004,34.17,62,55,STOKLOSA Natalia,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
56,CZE,9155110,2006,34.31,68,56,BIEGELOVA Sofie,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
57,JPN,9305438,2003,34.45,72,57,IIOKA Maika,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
58,POL,9435105,2006,34.58,78,58,MICHURA Klaudia,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
59,KOR,9325092,2007,57.49,81,59,CHO Sumin,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
60,GER,9205106,2007,"",77,"",REICHELMEIR Ina,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
61,NED,9405023,1996,"",17,"",DEKKER Michelle,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
1,AUT,9050238,1997,,25,1,AUNER Arvid,European Cup Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21612,360.00,51.70,100,,,
2,AUT,9050279,2001,,22,2,BURGSTALLER Dominik,European Cup Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21612,288.00,51.16,80,,,
3,AUT,9050297,2003,,23,3,KARNER Christoph,European Cup Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21612,216.00,52.51,60,,,
4,GER,9200158,2001,,31,4,PRANTL Ole-Mikkel,European Cup Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21612,180.00,52.38,50,,,
5,CAN,9101129,2002,,20,4,HELDMAN Ben,European Cup Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21612,180.00,52.38,50,,,
6,AUT,9050042,1989,,17,6,PAYER Alexander,European Cup Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21612,144.00,52.45,40,,,
7,CAN,9100945,2000,,28,7,GAUDET Arnaud,European Cup Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21612,129.60,52.73,36,,,
